"filename", "language", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "JSON", "Markdown", "Vue", "SCSS", "XML", "comment", "blank", "total"
"e:\java-projects\smart-community\community-admin\src\components\fast-radio-group\src\fast-radio-group.vue", "Vue", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"e:\java-projects\smart-community\community-admin\src\components\fast-select\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"e:\java-projects\smart-community\community-admin\src\components\fast-select\src\fast-select.vue", "Vue", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"e:\java-projects\smart-community\community-admin\src\components\fast-table-column\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"e:\java-projects\smart-community\community-admin\src\components\fast-table-column\src\fast-table-column.vue", "Vue", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 3, 73
"e:\java-projects\smart-community\community-admin\src\components\fast-user\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"e:\java-projects\smart-community\community-admin\src\components\fast-user\src\fast-user.vue", "Vue", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 10, 98
"e:\java-projects\smart-community\community-admin\src\components\position\mapper.vue", "Vue", 0, 0, 0, 0, 0, 0, 235, 0, 0, 0, 12, 247
"e:\java-projects\smart-community\community-admin\src\components\svg-icon\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"e:\java-projects\smart-community\community-admin\src\components\svg-icon\src\svg-icon.vue", "Vue", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 5, 45
"e:\java-projects\smart-community\community-admin\src\components\wang-editor\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 79, 0, 0, 2, 9, 90
"e:\java-projects\smart-community\community-admin\src\hooks\index.ts", "TypeScript", 0, 0, 0, 173, 0, 0, 0, 0, 0, 10, 28, 211
"e:\java-projects\smart-community\community-admin\src\hooks\interface.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 15, 1, 34
"e:\java-projects\smart-community\community-admin\src\icons\iconfont\iconfont.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\java-projects\smart-community\community-admin\src\icons\svg\404.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
